host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month
N/A,t,3,28801,Private room,1,2,1,Real Bed,85.00,,,2.00,15.00,1,14,571,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,10.05
100%,t,3,28801,Entire home/apt,1,4,1,Real Bed,165.00,200.00,89.00,2.00,30.00,1,11,251,99.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,4.41
N/A,t,3,28801,Private room,1,2,1,Real Bed,85.00,,,2.00,15.00,1,11,576,97.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,10.37
100%,t,2,28804,Entire home/apt,1,2,1,Real Bed,89.00,,25.00,2.00,0.00,2,18,154,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.73
N/A,t,1,28805,Entire home/apt,1,2,1,Real Bed,100.00,,,1.00,0.00,2,21,54,98.00,10.00,10.00,10.00,10.00,10.00,10.00,moderate,2.99
100%,t,1,28806,Entire home/apt,1,4,2,Real Bed,140.00,250.00,,1.00,0.00,2,5,132,98.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,2.37
100%,t,3,28801,Entire home/apt,1.5,4,2,Real Bed,100.00,500.00,75.00,4.00,25.00,30,0,150,97.00,10.00,10.00,10.00,10.00,9.00,10.00,strict_14_with_grace_period,2.72
N/A,f,1,28801,Entire home/apt,2,4,2,Real Bed,"2,500.00",200.00,100.00,4.00,50.00,180,30,12,100.00,10.00,10.00,10.00,10.00,10.00,10.00,strict_14_with_grace_period,0.22
N/A,f,2,28805,Entire home/apt,3.5,14,6,Real Bed,375.00,500.00,250.00,8.00,25.00,3,17,24,86.00,9.00,9.00,10.00,9.00,9.00,8.00,strict_14_with_grace_period,0.43
N/A,f,1,28801,Entire home/apt,1,2,2,Real Bed,79.00,,,1.00,0.00,30,16,57,97.00,10.00,10.00,10.00,10.00,10.00,9.00,flexible,1.05
