host_response_rate,host_is_superhost,host_listings_count,zipcode,room_type,bathrooms,accommodates,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,has_reviews,reviews_per_month.1,log.reviews_per_month,review_scores_rating.1,log.review_scores_rating,review_score_value.1,log.review_scores_value,review_scores_location.1,log.review_scores_location,review_scores_communication.1,log.review_scores_communication,review_scores_checkin.1,log.review_scores_checkin,review_scores_accuracy.1,log.review_scores_accuracy,review_scores_cleanliness.1,log.review_scores_cleanliness,number_of_reviews.1,log.number_of_reviews,inzip28801,inzip28804
100%,t,12,28801,Entire home/apt,1,8,4,Real Bed,309,200,0,2,25,1,21,51,96,10,10,10,10,10,9,super_strict_60,0.7,1,1.7,0.5306282510621704,97,4.574710978503383,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,52,3.9512437185814275,yes,no
N/A,f,2,28801,Private room,1,2,2,Real Bed,175,0,0,2,18,2,15,3,80,9,9,8,8,9,8,strict_14_with_grace_period,0.06,1,1.06,0.058268908123975824,81,4.394449154672439,9,2.1972245773362196,10,2.302585092994046,9,2.1972245773362196,9,2.1972245773362196,10,2.302585092994046,10,2.302585092994046,4,1.3862943611198906,yes,no
100%,t,1,28806,Entire home/apt,2.5,5,4,Real Bed,99,250,75,2,35,1,4,95,98,10,9,10,10,10,10,moderate,1.42,1,2.42,0.883767540168595,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,96,4.564348191467836,no,no
100%,t,2,28801,Entire home/apt,2,4,2,Real Bed,224,600,120,2,25,2,12,287,100,10,10,10,10,9,10,strict_14_with_grace_period,4.07,1,5.07,1.623340817603092,101,4.61512051684126,11,2.3978952727983707,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,288,5.662960480135946,yes,no
N/A,f,1,28804,Entire home/apt,1.5,6,4,Real Bed,137,300,27,1,0,2,25,85,94,10,9,10,10,10,9,strict_14_with_grace_period,1.26,1,2.26,0.8153648132841944,95,4.553876891600541,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,86,4.454347296253507,no,yes
100%,f,1,28805,Private room,1,2,1,Real Bed,65,0,0,1,0,1,18,36,88,9,8,10,10,9,9,flexible,0.56,1,1.56,0.44468582126144574,89,4.48863636973214,10,2.302585092994046,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,9,2.1972245773362196,37,3.6109179126442243,no,no
100%,t,0,28806,Entire home/apt,1,2,1,Real Bed,95,100,20,1,0,3,2,407,97,10,10,10,10,10,10,strict_14_with_grace_period,6.64,1,7.64,2.033397603178429,98,4.584967478670572,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,408,6.0112671744041615,no,no
100%,t,1,28806,Private room,1,2,1,Real Bed,62,100,20,1,10,1,16,384,98,10,10,10,10,10,10,strict_14_with_grace_period,5.64,1,6.64,1.8931119634883424,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,385,5.953243334287785,no,no
100%,t,1,28801,Private room,1,2,1,Real Bed,115,150,20,1,10,3,10,128,98,10,10,10,10,10,10,strict_14_with_grace_period,1.92,1,2.92,1.0715836162801904,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,129,4.859812404361672,yes,no
100%,t,1,28803,Entire home/apt,1,2,1,Real Bed,145,150,0,1,10,2,22,152,99,10,10,10,10,10,10,strict_14_with_grace_period,2.25,1,3.25,1.1786549963416462,100,4.605170185988092,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,153,5.030437921392435,no,no
100%,f,1,28804,Entire home/apt,1,2,1,Real Bed,130,300,95,2,0,30,3,73,99,10,10,10,10,10,10,strict_14_with_grace_period,1.1,1,2.1,0.7419373447293773,100,4.605170185988092,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,74,4.30406509320417,no,yes
100%,t,12,28801,Entire home/apt,1,5,3,Real Bed,442,200,0,2,25,1,25,52,96,10,10,10,10,10,9,super_strict_60,0.82,1,1.8199999999999998,0.5988365010887039,97,4.574710978503383,10,2.302585092994046,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,53,3.970291913552122,yes,no
100%,t,2,28715,Entire home/apt,1,6,3,Real Bed,95,200,60,4,10,2,18,30,98,10,9,10,10,10,10,moderate,0.45,1,1.45,0.371563556432483,99,4.59511985013459,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,11,2.3978952727983707,10,2.302585092994046,31,3.4339872044851463,no,no
